"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"91"	"ENSG00000130119"	4430	"GNL3L"	"X"	0.707	0.906	1.86363307895388	2.6860999934545	3.1131742879
"92"	"ENSG00000136881"	4470	"BAAT"	"9"	0.812	0.958	1.9745535889848	1.6644833164915	0.934233810128
"93"	"ENSG00000169612"	4610	"FAM103A1"	"15"	0.831	0.965	1.81530342584639	6.1425884146295	4.092250776434
"94"	"ENSG00000171861"	4623	"MRM3"	"17"	0.793	0.957	1.37136023585221	5.525257962806	4.4041783553385
"95"	"ENSG00000184254"	4654	"ALDH1A3"	"15"	0.659	0.907	1.34759953811433	2.3160708649365	3.2611476216185
"96"	"ENSG00000198920"	4746	"KIAA0753"	"17"	0.68	0.911	1.28006575109428	3.873103546014	3.184081027643
"97"	"ENSG00000203778"	4762	"FAM229B"	"6"	0.882	0.989	1.72146271767846	6.2929994206105	8.8336517872675
"98"	"ENSG00000006695"	4835	"COX10"	"17"	0.716	0.932	2.15787720045615	3.387152241235	2.79849291514
"99"	"ENSG00000006744"	4837	"ELAC2"	"17"	0.829	0.969	1.14585602346609	5.612458782613	6.696974588428
"100"	"ENSG00000008226"	4838	"DLEC1"	"3"	0.74	0.94	1.21875903381477	2.1813162595685	3.258368165113
"101"	"ENSG00000081377"	4886	"CDC14B"	"9"	0.708	0.919	1.36623634398902	4.536361634857	5.9342497767135
"102"	"ENSG00000105738"	4921	"SIPA1L3"	"19"	0.681	0.915	1.80370205569922	4.760964950585	3.9942467937985
"103"	"ENSG00000106018"	4962	"VIPR2"	"7"	0.777	0.944	1.85191164987925	1.7437628174725	2.3061269851625
"104"	"ENSG00000134871"	5086	"COL4A2"	"13"	0.681	0.901	1.45637047783771	4.2361435771695	3.1489849159265
"105"	"ENSG00000134874"	5088	"DZIP1"	"13"	0.64	0.907	1.01479205268799	7.5844967343695	5.738605361184
"106"	"ENSG00000135931"	5094	"ARMC9"	"2"	0.83	0.967	1.59222781977346	4.4720351838325	2.8002956479465
"107"	"ENSG00000146094"	5124	"DOK3"	"5"	0.719	0.918	1.79248520183178	2.7164799250135	2.0390309696145
"108"	"ENSG00000160396"	5177	"HIPK4"	"19"	0.697	0.91	1.7198224683888	6.273570028626	4.1361030222285
"109"	"ENSG00000164406"	5204	"LEAP2"	"5"	0.651	0.918	1.16939035205885	2.526881402334	3.964580229983
"110"	"ENSG00000170049"	5227	"KCNAB3"	"17"	0.755	0.925	2.19677073656757	4.0047346490445	3.083442342093
"111"	"ENSG00000171793"	5236	"CTPS1"	"1"	0.614	0.904	1.05276490350258	5.274860731623	4.526647934159
"112"	"ENSG00000206199"	5316	"ANKUB1"	"3"	0.844	0.969	1.31174175944402	1.164938191352	2.40955005931
"113"	"ENSG00000064115"	5341	"TM7SF3"	"12"	0.666	0.906	1.4721830545658	5.570552382963	6.365307550733
"114"	"ENSG00000066382"	5342	"MPPED2"	"11"	0.826	0.971	1.50286771768891	4.1152893125565	2.5407455007825
"115"	"ENSG00000104064"	5372	"GABPB1"	"15"	0.734	0.937	1.26045292055258	3.193983587927	3.7525605307695
"116"	"ENSG00000104219"	5386	"ZDHHC2"	"8"	0.802	0.957	1.79976816990911	3.511473309235	4.465253703517
"117"	"ENSG00000104331"	5401	"IMPAD1"	"8"	0.736	0.908	2.15484495062146	6.377166433128	7.443611436149
"118"	"ENSG00000146826"	5493	"C7orf43"	"7"	0.76	0.948	1.40894444978236	6.4876767699705	5.610864826883
"119"	"ENSG00000156049"	5574	"GNA14"	"9"	0.828	0.964	1.71920012125022	1.968841602319	2.799317585799
"120"	"ENSG00000158042"	5581	"MRPL17"	"11"	0.724	0.944	1.59328261985221	9.6395079928925	8.644234456587
"121"	"ENSG00000167523"	5641	"SPATA33"	"16"	0.891	0.977	1.83262911768755	2.524866352016	3.51364998901
"122"	"ENSG00000172426"	5681	"RSPH9"	"6"	0.749	0.95	1.42608017568195	4.4823994825305	5.793228057212
"123"	"ENSG00000184313"	5746	"MROH7"	"1"	0.703	0.924	1.75928179889628	3.052402130304	3.8803413321355
"124"	"ENSG00000049883"	5805	"PTCD2"	"5"	0.756	0.934	2.15900731071912	3.7288752152335	2.754468890176
"125"	"ENSG00000106546"	5842	"AHR"	"7"	0.662	0.912	1.08135488650406	1.918016207512	2.4880660678755
